k,z_lo,z_hi,z_mid,phi,err,R
1,0.000000,0.250000,0.125000,1.99318135e+00,1.82961365e-03,0.00091794
2,0.250000,0.500000,0.375000,2.03744632e+00,2.34086447e-03,0.00114892
3,0.500000,0.750000,0.625000,1.95328476e+00,2.54475768e-03,0.00130281
4,0.750000,1.000000,0.875000,1.82352045e+00,2.62063591e-03,0.00143713
5,1.000000,1.250000,1.125000,1.67771397e+00,2.65152631e-03,0.00158044
6,1.250000,1.500000,1.375000,1.52584034e+00,2.62518666e-03,0.00172049
7,1.500000,1.750000,1.625000,1.37421031e+00,2.55972434e-03,0.00186269
8,1.750000,2.000000,1.875000,1.23348571e+00,2.48295461e-03,0.00201296
9,2.000000,2.250000,2.125000,1.09849635e+00,2.38391235e-03,0.00217016
10,2.250000,2.500000,2.375000,9.73141959e-01,2.27539018e-03,0.00233819
11,2.500000,2.750000,2.625000,8.58852584e-01,2.16303351e-03,0.00251852
12,2.750000,3.000000,2.875000,7.55179664e-01,2.04570721e-03,0.00270890
13,3.000000,3.250000,3.125000,6.59175846e-01,1.91436976e-03,0.00290419
14,3.250000,3.500000,3.375000,5.69694985e-01,1.77318099e-03,0.00311251
15,3.500000,3.750000,3.625000,4.90645190e-01,1.65374035e-03,0.00337054
16,3.750000,4.000000,3.875000,4.16788789e-01,1.50195150e-03,0.00360363
17,4.000000,4.250000,4.125000,3.48427306e-01,1.34416136e-03,0.00385780
18,4.250000,4.500000,4.375000,2.84686051e-01,1.17560094e-03,0.00412946
19,4.500000,4.750000,4.625000,2.24431879e-01,9.85712161e-04,0.00439203
20,4.750000,5.000000,4.875000,1.62817401e-01,7.15337534e-04,0.00439350
