k,z_lo,z_hi,z_mid,phi,err,R
1,0.000000,0.100000,0.050000,1.61681992e+00,1.63084687e-03,0.00100868
2,0.100000,0.200000,0.150000,1.63898109e+00,1.93403161e-03,0.00118002
3,0.200000,0.300000,0.250000,1.61724616e+00,2.06307702e-03,0.00127567
4,0.300000,0.400000,0.350000,1.57666159e+00,2.12514560e-03,0.00134788
5,0.400000,0.500000,0.450000,1.52166879e+00,2.14791673e-03,0.00141155
6,0.500000,0.600000,0.550000,1.45789183e+00,2.15232562e-03,0.00147633
7,0.600000,0.700000,0.650000,1.39188504e+00,2.15712523e-03,0.00154979
8,0.700000,0.800000,0.750000,1.32122399e+00,2.13025083e-03,0.00161233
9,0.800000,0.900000,0.850000,1.24838898e+00,2.09611544e-03,0.00167906
10,0.900000,1.000000,0.950000,1.17410213e+00,2.05779295e-03,0.00175265
11,1.000000,1.100000,1.050000,1.10386725e+00,2.02795927e-03,0.00183714
12,1.100000,1.200000,1.150000,1.03279868e+00,1.96740886e-03,0.00190493
13,1.200000,1.300000,1.250000,9.62851126e-01,1.91424536e-03,0.00198810
14,1.300000,1.400000,1.350000,8.90746595e-01,1.83985529e-03,0.00206552
15,1.400000,1.500000,1.450000,8.19601339e-01,1.75718123e-03,0.00214395
16,1.500000,1.600000,1.550000,7.52978033e-01,1.68721942e-03,0.00224073
17,1.600000,1.700000,1.650000,6.83644036e-01,1.57574679e-03,0.00230492
18,1.700000,1.800000,1.750000,6.14712635e-01,1.46923928e-03,0.00239012
19,1.800000,1.900000,1.850000,5.41790431e-01,1.31616243e-03,0.00242928
20,1.900000,2.000000,1.950000,4.62772612e-01,1.09127413e-03,0.00235812
